,date,site,latitude,longitude,elevation,depthOfTemperatureObservation,temperatureObserved,reference,reference_short,note,year,ERA_distance,ERA_lat,ERA_lon,ERA_i,ERA_j
85,1912-01-01 00:00:00,unnamed 80,74.73333333333333,-39.45,2807.0,10.0,8.0,Koch and Wegener (1930),Koch and Wegener (1930),as reported in Mock and Weeks 1965,1912,161.51694082200737,74.74336434378374,-39.49274824328249,263.0,490.0
86,1912-01-01 00:00:00,unnamed 81,74.66666666666667,-39.85,2847.0,10.0,12.3,Koch and Wegener (1930),Koch and Wegener (1930),as reported in Mock and Weeks 1965,1912,161.9442087358711,74.66746942426856,-39.83955997515879,265.0,488.0
87,1912-01-01 00:00:00,unnamed 82,74.55,-40.5,2890.0,10.0,13.0,Koch and Wegener (1930),Koch and Wegener (1930),as reported in Mock and Weeks 1965,1912,162.71691273620715,74.55597027291955,-40.51049450162947,268.0,484.0
88,1912-01-01 00:00:00,unnamed 83,74.43333333333334,-41.16666666666666,2918.0,10.0,17.0,Koch and Wegener (1930),Koch and Wegener (1930),as reported in Mock and Weeks 1965,1912,163.4930213411605,74.4424372385952,-41.171610858009664,271.0,480.0
89,1912-01-01 00:00:00,unnamed 84,74.38333333333334,-41.4,2924.0,10.0,17.4,Koch and Wegener (1930),Koch and Wegener (1930),as reported in Mock and Weeks 1965,1912,163.68990202154916,74.36134045859882,-41.347803700106105,273.0,479.0
90,1912-01-01 00:00:00,unnamed 85,74.3,-41.96666666666667,2935.0,10.0,15.3,Koch and Wegener (1930),Koch and Wegener (1930),as reported in Mock and Weeks 1965,1912,164.4307659300986,74.28724773068595,-41.98630259687458,275.0,475.0
91,1912-01-01 00:00:00,unnamed 86,74.18333333333334,-42.53333333333333,2933.0,10.0,18.5,Koch and Wegener (1930),Koch and Wegener (1930),as reported in Mock and Weeks 1965,1912,165.0072930122277,74.16751124119598,-42.47136919860373,278.0,472.0
92,1912-01-01 00:00:00,unnamed 87,74.11666666666666,-43.05,2928.0,10.0,23.7,Koch and Wegener (1930),Koch and Wegener (1930),as reported in Mock and Weeks 1965,1912,165.73885929073353,74.13205983841993,-43.09141467168874,279.0,468.0
93,1912-01-01 00:00:00,unnamed 88,74.03333333333333,-43.516666666666666,2920.0,10.0,23.7,Koch and Wegener (1930),Koch and Wegener (1930),as reported in Mock and Weeks 1965,1912,166.28408415031464,74.05181962296868,-43.55938614058964,281.0,465.0
94,1912-01-01 00:00:00,unnamed 89,73.98333333333333,-44.25,2909.0,10.0,29.6,Koch and Wegener (1930),Koch and Wegener (1930),as reported in Mock and Weeks 1965,1912,167.1452111605453,73.97121491835831,-44.174467751193525,283.0,461.0
95,1912-01-01 00:00:00,unnamed 90,73.88333333333334,-44.91666666666666,2881.0,10.0,29.9,Koch and Wegener (1930),Koch and Wegener (1930),as reported in Mock and Weeks 1965,1912,168.0250406614878,73.88892374092468,-44.93436727225095,285.0,456.0
96,1912-01-01 00:00:00,unnamed 91,73.8,-45.48333333333333,2811.0,10.0,31.1,Koch and Wegener (1930),Koch and Wegener (1930),as reported in Mock and Weeks 1965,1912,168.7324159532537,73.80432752751089,-45.536005295007435,287.0,452.0
97,1912-01-01 00:00:00,unnamed 92,73.75,-45.96666666666667,2752.0,10.0,38.8,Koch and Wegener (1930),Koch and Wegener (1930),as reported in Mock and Weeks 1965,1912,169.32499494120552,73.76071430962243,-45.9843232176881,288.0,449.0
98,1912-01-01 00:00:00,unnamed 93,73.71666666666667,-46.61666666666667,2681.0,10.0,58.9,Koch and Wegener (1930),Koch and Wegener (1930),as reported in Mock and Weeks 1965,1912,170.14967987218034,73.71502814687467,-46.57962082345584,289.0,445.0
99,1912-01-01 00:00:00,unnamed 94,73.58333333333333,-47.03333333333333,2636.0,10.0,63.5,Koch and Wegener (1930),Koch and Wegener (1930),as reported in Mock and Weeks 1965,1912,170.56410728579252,73.5853454835445,-47.01206050353844,292.0,442.0
100,1912-01-01 00:00:00,unnamed 95,73.45,-47.65,2547.0,10.0,35.9,Koch and Wegener (1930),Koch and Wegener (1930),as reported in Mock and Weeks 1965,1912,171.2170908703975,73.45295931442102,-47.58456304465943,295.0,438.0
101,1912-01-01 00:00:00,unnamed 96,73.31666666666666,-48.11666666666667,2496.0,10.0,38.7,Koch and Wegener (1930),Koch and Wegener (1930),as reported in Mock and Weeks 1965,1912,171.75634320654575,73.31901263614287,-48.1478023106846,298.0,434.0
102,1912-01-01 00:00:00,unnamed 97,73.2,-48.61666666666667,2415.0,10.0,44.3,Koch and Wegener (1930),Koch and Wegener (1930),as reported in Mock and Weeks 1965,1912,172.25910483298452,73.22800529304108,-48.566477787987125,300.0,431.0
103,1912-01-01 00:00:00,unnamed 98,73.03333333333333,-49.3,2284.0,10.0,33.8,Koch and Wegener (1930),Koch and Wegener (1930),as reported in Mock and Weeks 1965,1912,172.9773422117824,73.04659982329581,-49.24696119661287,304.0,426.0
104,1912-01-01 00:00:00,unnamed 99,72.91666666666667,-49.93333333333333,2216.0,10.0,42.0,Koch and Wegener (1930),Koch and Wegener (1930),as reported in Mock and Weeks 1965,1912,173.72171371348014,72.90467084303356,-49.92493274296014,307.0,421.0
105,1912-01-01 00:00:00,unnamed 101,72.8,-50.333333333333336,2100.0,10.0,32.5,Koch and Wegener (1930),Koch and Wegener (1930),as reported in Mock and Weeks 1965,1912,174.13708308188964,72.81008735923442,-50.32360311655201,309.0,418.0
106,1912-01-01 00:00:00,unnamed 102,72.68333333333334,-51.31666666666667,1850.0,10.0,29.6,Koch and Wegener (1930),Koch and Wegener (1930),as reported in Mock and Weeks 1965,1912,175.34450205679872,72.69723035945363,-51.277336824348225,311.0,411.0
107,1912-01-01 00:00:00,unnamed 103,72.58333333333333,-51.766666666666666,1706.0,10.0,23.0,Koch and Wegener (1930),Koch and Wegener (1930),as reported in Mock and Weeks 1965,1912,175.8499659266341,72.55353109374708,-51.785870833976475,314.0,407.0
108,1959-01-01 00:00:00,1,77.23333333333333,-62.333333333333336,1718.0,10.0,25.6,Langway (1961),Langway (1961),as reported in Mock and Weeks 1965,1959,197.3387462847857,77.18854816016523,-62.3239143099373,193.0,366.0
109,1959-01-01 00:00:00,2,77.71666666666667,-59.56666666666667,2025.0,10.0,20.2,Langway (1961),Langway (1961),as reported in Mock and Weeks 1965,1959,194.1480589937345,77.71133517555229,-59.572149415497684,185.0,383.0
110,1959-01-01 00:00:00,3,78.2,-56.31666666666667,2068.0,10.0,22.4,Langway (1961),Langway (1961),as reported in Mock and Weeks 1965,1959,190.2296629674487,78.1709003300046,-56.33779764818872,178.0,401.0
111,1959-01-01 00:00:00,4,78.61666666666666,-53.0,2096.0,10.0,16.8,Langway (1961),Langway (1961),as reported in Mock and Weeks 1965,1959,186.15671204371782,78.58453323502316,-53.06412939809276,171.0,418.0
