date,site,latitude,longitude,elevation,depthOfTemperatureObservation,temperatureObserved,reference,reference_short,note
1959-01-01 00:00:00,11,80.65,-39.63333333333333,1960.0,10.0,-28.4,"Langway,  C. C.,  Jr. (1961) Accumulation and temperature on the inland ice of North Greenland, 1959, Journal of Glaciology,  vol.  3, no.  30, p.  1017-1044.",Langway (1961),as reported in Mock and Weeks 1965
1959-01-01 00:00:00,12,81.3,-39.73333333333333,1803.0,10.0,-26.5,"Langway,  C. C.,  Jr. (1961) Accumulation and temperature on the inland ice of North Greenland, 1959, Journal of Glaciology,  vol.  3, no.  30, p.  1017-1044.",Langway (1961),as reported in Mock and Weeks 1965
1959-01-01 00:00:00,unnamed 70,77.98333333333333,-52.5,2296.0,10.0,-29.0,"Langway,  C. C.,  Jr. (1961) Accumulation and temperature on the inland ice of North Greenland, 1959, Journal of Glaciology,  vol.  3, no.  30, p.  1017-1044.",Langway (1961),as reported in Mock and Weeks 1965
1959-01-01 00:00:00,unnamed 71,78.91666666666667,-48.2,2205.0,10.0,-29.0,"Langway,  C. C.,  Jr. (1961) Accumulation and temperature on the inland ice of North Greenland, 1959, Journal of Glaciology,  vol.  3, no.  30, p.  1017-1044.",Langway (1961),as reported in Mock and Weeks 1965
1964-01-01 00:00:00,S-40,76.65,-62.15,1262.0,10.0,-16.3,"Mock, S.  J. (1965)  Glaciological  studies  in the vicinity  of Camp Century, Green­ land, U. S. Army Cold Regions Research and Engineering Laboratory  (USA CRREL) Research Report 157.
Rinker, J. N. and Mock, S. J. (in preparation) Radar ice sounding data, Green­ land 1964, USA CRREL Special Report.",Mock (1965),as reported in Mock and Weeks 1965
1964-01-01 00:00:00,S-30,76.78333333333333,-61.88333333333333,1553.0,10.0,-20.1,"Mock, S.  J. (1965)  Glaciological  studies  in the vicinity  of Camp Century, Green­ land, U. S. Army Cold Regions Research and Engineering Laboratory  (USA CRREL) Research Report 157.
Rinker, J. N. and Mock, S. J. (in preparation) Radar ice sounding data, Green­ land 1964, USA CRREL Special Report.",Mock (1965),as reported in Mock and Weeks 1965
1964-01-01 00:00:00,S-20,76.91666666666667,-61.66666666666666,1728.0,10.0,-22.1,"Mock, S.  J. (1965)  Glaciological  studies  in the vicinity  of Camp Century, Green­ land, U. S. Army Cold Regions Research and Engineering Laboratory  (USA CRREL) Research Report 157.
Rinker, J. N. and Mock, S. J. (in preparation) Radar ice sounding data, Green­ land 1964, USA CRREL Special Report.",Mock (1965),as reported in Mock and Weeks 1965
1964-01-01 00:00:00,S-10,77.04861111111111,-61.39361111111111,1819.0,10.0,-23.3,"Mock, S.  J. (1965)  Glaciological  studies  in the vicinity  of Camp Century, Green­ land, U. S. Army Cold Regions Research and Engineering Laboratory  (USA CRREL) Research Report 157.
Rinker, J. N. and Mock, S. J. (in preparation) Radar ice sounding data, Green­ land 1964, USA CRREL Special Report.",Mock (1965),as reported in Mock and Weeks 1965
1964-01-01 00:00:00,CenturyAstro,77.18138888888889,-61.1425,1885.0,10.0,-24.5,"Mock, S.  J. (1965)  Glaciological  studies  in the vicinity  of Camp Century, Green­ land, U. S. Army Cold Regions Research and Engineering Laboratory  (USA CRREL) Research Report 157.
Rinker, J. N. and Mock, S. J. (in preparation) Radar ice sounding data, Green­ land 1964, USA CRREL Special Report.",Mock (1965),as reported in Mock and Weeks 1965
1964-01-01 00:00:00,N-8,77.28944444444444,-61.16722222222222,1886.0,10.0,-24.6,"Mock, S.  J. (1965)  Glaciological  studies  in the vicinity  of Camp Century, Green­ land, U. S. Army Cold Regions Research and Engineering Laboratory  (USA CRREL) Research Report 157.
Rinker, J. N. and Mock, S. J. (in preparation) Radar ice sounding data, Green­ land 1964, USA CRREL Special Report.",Mock (1965),as reported in Mock and Weeks 1965
